name,auth,translator,publisher,date,price,rating,hot,url
龙族Ⅰ,江南 , 长江出版社 , 长江出版社 , 2010-4 , 24.80元,7.6,23384,https://book.douban.com/subject/4737329/
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳 , 郑须弥 , 人民文学出版社 , 2000-9 , 26.50元,9.0,132098,https://book.douban.com/subject/1071241/
玫瑰的名字,[意] 翁贝托·埃科 , 沈萼梅、刘锡荣 , 上海译文出版社 , 2010-03 , 33.00元,8.6,8511,https://book.douban.com/subject/3836566/
那些回不去的年少时光,桐华 , 江苏文艺出版社 , 江苏文艺出版社 , 2010-01 , 23.80元,8.4,49100,https://book.douban.com/subject/4231381/
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 , 叶李华 , 江苏凤凰文艺出版社 , 2015-10-1 , 328.00元,9.5,5291,https://book.douban.com/subject/26389895/
哈利·波特与火焰杯,[英] J. K. 罗琳 , 马爱新 , 人民文学出版社 , 2001-5 , 39.80元,9.0,126409,https://book.douban.com/subject/1009257/
小偷家族,[日] 是枝裕和 , 赵仲明 , 北京联合出版公司 , 2019-1 , 45.00,8.6,10166,https://book.douban.com/subject/30374817/
长恨歌,王安忆 , 南海出版公司 , 南海出版公司 , 2003-8 , 22.00元,8.2,46134,https://book.douban.com/subject/1082349/
城南旧事,林海音 , 人民文学出版社 , 人民文学出版社 , 2008-5 , 13.00元,9.1,13715,https://book.douban.com/subject/3057333/
包法利夫人,福楼拜 , 李健吾 , 人民文学出版社 , 2003-01 , 12.00,8.1,22356,https://book.douban.com/subject/1083477/
熊镇,[瑞典] 弗雷德里克·巴克曼 , 郭腾坚 , 四川文艺出版社 , 2019-1 , 45,8.0,6340,https://book.douban.com/subject/30366534/
默读.2,Priest , 北京联合出版公司 , 北京联合出版公司 , 2018-6 , 48.00元,8.5,7151,https://book.douban.com/subject/30246163/
哭泣的骆驼,三毛 , 哈尔滨出版社 , 哈尔滨出版社 , 2003-6 , 15.80元,8.9,45083,https://book.douban.com/subject/1029111/
鹿鼎记（全五册）,金庸 , 广州出版社 花城出版社 , 广州出版社 花城出版社 , 2008-3 , 108.00元,8.8,45845,https://book.douban.com/subject/1212893/
人类的群星闪耀时,[奥] 斯蒂芬·茨威格 , 舒昌善 , 广西师范大学出版社 , 2004-8 , 18.00元,8.7,21010,https://book.douban.com/subject/1083762/
桃花债,大风刮过 , 中国文联出版社 , 中国文联出版社 , 2016-7-1 , 36.00元,8.1,6370,https://book.douban.com/subject/26793349/
扫鼠岭,呼延云 , 新星出版社 , 新星出版社 , 2020-6 , 58.00元,8.6,411,https://book.douban.com/subject/35082103/
香水,[德] 帕·聚斯金德 , 李清华 , 上海译文出版社 , 2005-5 , 20.00元,8.5,36472,https://book.douban.com/subject/1292416/
飞行家,双雪涛 , 广西师范大学出版社 , 广西师范大学出版社 , 2017-8 , 45.00元,8.1,8151,https://book.douban.com/subject/27116235/
人鼠之间,[美] 约翰·斯坦贝克（John Steinbeck） , 李天奇 , 上海文艺出版社 , 2016-1-1 , 29.00元,9.0,6275,https://book.douban.com/subject/26598807/
禅与摩托车维修艺术,(美)罗伯特·M.波西格 , 张国辰 , 重庆出版社 , 2011-9 , 36.00元,8.3,14436,https://book.douban.com/subject/6811366/
难民,[美] 阮清越 , 陈恒仕 , 上海译文出版社 , 2020-4 , 38.00,8.3,252,https://book.douban.com/subject/35009821/
鬓边不是海棠红,水如天儿 , 中国致公出版社 , 中国致公出版社 , 2019-12 , 68.00元,8.3,2486,https://book.douban.com/subject/34921004/
哈利·波特与死亡圣器,[英] J. K. 罗琳 , 马爱农、马爱新 , 人民文学出版社 , 2007-10 , 66.00元,9.0,100960,https://book.douban.com/subject/2295163/
余生请多指教,柏林石匠 , 北方妇女儿童出版社 , 北方妇女儿童出版社 , 2015-7 , 32.00元,6.5,1923,https://book.douban.com/subject/26425103/
小说课,毕飞宇 , 人民文学出版社 , 人民文学出版社 , 2017-2 , 38.00,8.6,8977,https://book.douban.com/subject/26951584/
两兄弟,[巴西] 米尔顿·哈通 , 马琳 , 后浪丨四川文艺出版社 , 2020-6 , 58.00元,8.6,123,https://book.douban.com/subject/34974518/
被嫌弃的松子的一生,[日] 山田宗树 , 王蕴洁、刘珮瑄 , 文治图书·四川文艺出版社 , 2018-5 , 45.0元,8.6,8213,https://book.douban.com/subject/27110733/
审查官手记,[葡] 安东尼奥·洛博·安图内斯 , 王渊 , 中信出版集团 , 2020-5 , 55.00元,8.9,121,https://book.douban.com/subject/34978410/
一九八四,[英]乔治·奥威尔 , 董乐山 , 上海译文出版社 , 2009-7 , 29.00元,9.4,14761,https://book.douban.com/subject/3815131/
家,巴金 , 人民文学出版社 , 人民文学出版社 , 1981-09-01 , 29.00元,8.2,21698,https://book.douban.com/subject/1082522/
人的疆域,[英] 埃利亚斯·卡内蒂 , 李佳川、季冲、胡烨 , 理想国丨广西师范大学出版社 , 2020-5 , 138.00元,9.4,138,https://book.douban.com/subject/35032389/
分成两半的子爵,[意大利] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4-1 , 20.00元,8.7,11378,https://book.douban.com/subject/10555486/
醉步男,[日]小林泰三 , 丁丁虫 , 北京时代华文书局 , 2019-10-1 , 49.00,8.5,7641,https://book.douban.com/subject/30359030/
远山淡影,[英] 石黑一雄 , 张晓意 , 上海译文出版社 , 2011-5 , 27.00元,8.2,21041,https://book.douban.com/subject/5988624/
2666,[智利] 罗贝托·波拉尼奥 , 赵德明 , 上海人民出版社 , 2012-1-1 , 98.00元,8.7,3957,https://book.douban.com/subject/6800379/
第三人,（英）格雷厄姆.格林 , 吴刚 , 江苏凤凰文艺出版社 , 2020-6-8 , 52,8.0,213,https://book.douban.com/subject/35018741/
祈祷落幕时,(日)东野圭吾 , 代珂 , 南海出版公司 , 2015-1 , 39.50元,7.7,30400,https://book.douban.com/subject/26118072/
镇魂,priest , 晋江出版社 , 晋江出版社 , 2013-7-4 , 25,7.9,14908,https://book.douban.com/subject/26281913/
时生,[日]东野圭吾 , 徐建雄 , 南海出版公司 , 2010-1 , 25.00,7.6,43240,https://book.douban.com/subject/4152754/
万花筒：南烛,西子绪 , 江苏凤凰文艺出版社 ,西子绪 , 江苏凤凰文艺出版社 , 38.8元,7.4,3957,https://book.douban.com/subject/34441316/
鬼吹灯之昆仑神宫,天下霸唱 , 安徽文艺出版社 , 安徽文艺出版社 , 2006-12 , 28.00元,7.9,27225,https://book.douban.com/subject/1938591/
渺小一生,[美] 柳原汉雅 , 尤传莉 , 广西师范大学出版社 , 2019-6 , 98.00元,8.4,2865,https://book.douban.com/subject/33426127/
橘子不是唯一的水果,[英] 珍妮特·温特森 , 于是 , 新星出版社 , 2010-7 , 25.00元,7.6,14919,https://book.douban.com/subject/4882159/
金色梦乡,[日] 伊坂幸太郎 , 李彦桦 , 译林出版社 , 2010-9 , 35.00元,9.0,19190,https://book.douban.com/subject/5038409/
女孩之城,[美] 伊丽莎白·吉尔伯特 , 姜小瑁 , 中信出版集团 , 2020-6 , 59.00,8.4,141,https://book.douban.com/subject/35059158/
悲惨世界,[法] 雨果 , 李丹、方于 , 人民文学出版社 , 2015-6 , 110.00元,9.5,4562,https://book.douban.com/subject/25897657/
王考,童伟格 , 四川人民出版社 , 四川人民出版社 , 2019-7 , 42.00元,8.5,3113,https://book.douban.com/subject/34442090/
太古和其他的时间,[波兰] 奥尔加·托卡尔丘克 , 易丽君、袁汉镕 , 四川人民出版社 , 2017-12 , 48.00元,8.8,6286,https://book.douban.com/subject/27132345/
隐痛,[法]伊内丝·巴亚尔 , 焦君怡 , 南京大学出版社 , 2020-5 , 45.00元,8.1,152,https://book.douban.com/subject/34881136/
一个人张灯结彩,田耳 , 作家出版社 , 作家出版社 , 2017-9-1 , 38.00元,7.5,3268,https://book.douban.com/subject/30172690/
尤利西斯,[爱尔兰] 乔伊斯 , 金隄 , 人民文学出版社 , 2012-5 , 79.00元,9.1,2106,https://book.douban.com/subject/5958737/
人性的枷锁,[英] 威廉·萨默塞特·毛姆 , 张乐 , 江西人民出版社 , 2016-5 , 68.00元,9.2,8523,https://book.douban.com/subject/26803714/
卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский) , 荣如德 , 上海译文出版社 , 2015-2-1 , CNY 78.00,9.7,4770,https://book.douban.com/subject/25887924/
萨拉戈萨手稿,[波兰] 扬·波托茨基 , 方颂华 , 湖南文艺出版社 , 2019-11 , 118.00元,8.2,1551,https://book.douban.com/subject/34808267/
告白,[日] 凑佳苗 , 竺家荣 , 湖南文艺出版社 , 2016-4 , 36.80元,8.8,9481,https://book.douban.com/subject/26681984/
愤怒的葡萄,[美]约翰·斯坦贝克 , 王一凡 , 湖南文艺出版社 , 2019-6 , 69.00元,9.1,1340,https://book.douban.com/subject/33395266/
绿毛水怪,王小波 , 时代文艺出版社 , 时代文艺出版社 , 2009-1 , 30.00元,9.0,15524,https://book.douban.com/subject/3518332/
悉达多,[德] 赫尔曼·黑塞 , 姜乙 , 天津人民出版社 , 2017-1 , 32.00元,9.4,7665,https://book.douban.com/subject/26980487/
