name,auth,translator,publisher,date,price,rating,hot,url
Design Patterns Explained,Alan Shalloway、James R. Trott , Addison-Wesley Professional , Addison-Wesley Professional , 2004-10-22 , USD 59.99,9.0,46,https://book.douban.com/subject/1442623/
Physically Based Rendering,Matt Pharr、Greg Humphreys , Morgan Kaufmann , Morgan Kaufmann , 2004-8-18 , USD 103.00,9.7,34,https://book.douban.com/subject/1393474/
Python编程导论（第2版）,[美] John V. Guttag , 陈光欣 , 人民邮电出版社 , 2018-2-1 , 69.00元,8.3,36,https://book.douban.com/subject/30155590/
Python标准库,Doug Hellmann , 刘炽 , 机械工业出版社华章公司 , 2012-6-15 , 139.00元,8.4,131,https://book.douban.com/subject/10773324/
The C++ Programming Language,Bjarne Stroustrup , Addison-Wesley Professional , Addison-Wesley Professional , 1997-06-30 , USD 74.99,not-found,10,https://book.douban.com/subject/2696025/
Mathematics for Computer Science,Eric Lehman、F. Thomson Leighton、Albert R. Meyer , 12th Media Services , 12th Media Services , 2017-6-5 , GBP 40.99,not-found,10,https://book.douban.com/subject/30376796/
UNIX网络编程,W.理查德·史蒂文斯 (W.Richard Stevens)、比尔·芬纳 (Bill Fenner)、安德鲁 M.鲁道夫 (Andrew M.Rudoff) , 人民邮电出版社 , 人民邮电出版社 , 2016-2-1 , CNY 129.00,not-found,10,https://book.douban.com/subject/26913600/
修改代码的艺术,（美）Michael C. Feathers , 侯伯薇 , 机械工业出版社 , 2014-6-15 , 79.00,6.7,19,https://book.douban.com/subject/25904007/
The Elements of C Programming Style,Jay Ranade、Alan Nash , Computing Mcgraw-Hill , Computing Mcgraw-Hill , 1992-10 , USD 29.95,not-found,,https://book.douban.com/subject/2352010/
Introduction to Programming in Java,Robert Sedgewick、Kevin Wayne , Addison Wesley , Addison Wesley , 2017-3-30 , $85.00,not-found,10,https://book.douban.com/subject/27067276/
The Art of Scalability,Martin L. Abbott、Michael T. Fisher , 2015-6-3 ,Martin L. Abbott、Michael T. Fisher , 2015-6-3 , USD 44.99,not-found,10,https://book.douban.com/subject/26428911/
The AWK Programming Language,Alfred V. Aho、Brian W. Kernighan、Peter J. Weinberger , Pearson , Pearson , 1988-1-11 , USD 151.40,9.4,130,https://book.douban.com/subject/1876898/
